onsen_id,onsen_name,onsen_romanji,onsen_address,onsen_latitude,onsen_longitude,onsen_area,onsen_area_romanji,prefectures,prefectures_romanji,municipality,municipality_romanji,municipality_type
Onsen_172,登川温泉,noborikawaonsen,北海道虻田郡喜茂別町,42.76341,140.9315,後志,shiribeshi,北海道,Hokkaido,喜茂別町,kimobetsu-chyou,town
Onsen_173,登別温泉,noboribetsuonsen,北海道登別市,42.49992,141.1416,胆振,iburi,北海道,Hokkaido,登別市,noboribetsu-city,city
Onsen_174,函館温泉,hakodateonsen,北海道函館市,41.76615,140.7305,渡島,oshima,北海道,Hokkaido,函館市,hakodate-city,city
Onsen_175,はぼろ温泉,haboroonsen,北海道苫前郡羽幌町,44.36759,141.7064,留萌,rumoi,北海道,Hokkaido,羽幌町,haboro-chyou,town
Onsen_176,浜頓別温泉,hamatonbetsuonsen,北海道枝幸郡浜頓別町,45.14057,142.3514,宗谷,souya,北海道,Hokkaido,浜頓別町,hamatonbetsu-chyou,town
Onsen_177,浜松温泉,hamamatsuonsen,北海道二海郡八雲町,42.24049,140.3054,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
Onsen_178,蟠渓温泉,bankeionsen,北海道有珠郡壮瞥町,42.58299,141.0245,胆振,iburi,北海道,Hokkaido,壮瞥町,soubetsu-chyou,town
Onsen_179,晩成温泉,banseionsen,北海道広尾郡大樹町,42.53261,143.483,十勝,tokachi,北海道,Hokkaido,大樹町,taiki-chyou,town
Onsen_180,東大沼温泉,higashioonumaonsen,北海道亀田郡七飯町,42.02513,140.7367,渡島,oshima,北海道,Hokkaido,七飯町,nanae-chyou,town
Onsen_181,美唄温泉,bibaionsen,北海道美唄市,43.34353,141.8934,空知,sorachi,北海道,Hokkaido,美唄市,bibai-city,city
Onsen_182,美深温泉,bifukaonsen,北海道中川郡美深町,44.55987,142.3238,上川,kamikawa,北海道,Hokkaido,美深町,bihuka-chyou,town
Onsen_183,平取温泉,biratorionsen,北海道沙流郡平取町,42.64611,142.1654,日高,hidaka,北海道,Hokkaido,平取町,biratori-chyou,town
Onsen_184,ひらふ温泉,hirafuonsen,北海道虻田郡倶知安町,42.84903,140.7211,後志,shiribeshi,北海道,Hokkaido,倶知安町,kucchan-chyou,town
Onsen_185,平磯温泉,hiraisoonsen,北海道小樽市,43.18103,141.035,後志,shiribeshi,北海道,Hokkaido,小樽市,otaru-city,city
Onsen_186,平田内温泉,hiratanaionsen,北海道二海郡八雲町,42.16244,139.9974,渡島,oshima,北海道,Hokkaido,八雲町,yakumo-chyou,town
